codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35055;RUE DU VERGER FACE RUE DU MESNIL ET VILLIERS;Aérien;Public;;;;VE;-1.61892019094906;48.0832344136664
35238;14  square des Hautes Chalais;Aérien;Privé;Palissade bois;Béton;;OM-MM;-1.67963229485677;48.0906598077195
35238;Rue de la 87ème Division (angle rue Henri Bougeard);Aérien;Public;;;;VE;-1.64350134517347;48.1008868659243
35189;RUE DU CHENE MICAULT;Aérien;Public;;;20080331;OM-MM;-1.71492356265051;48.1542711149675
35055;RUE DE BOURGOGNE;Aérien;Public;;;;VE;-1.61339336014579;48.0896242745246
35266;Avenue de la Fontaine RUE DU PONT DU GUE A COTE DE L EGLISE;Aérien;Public;;;20080403;VE;-1.65313707002588;48.020959187465
35238;Boulevard des Hautes Ourmes (angle rue de Vern);Aérien;Public;;;20100519;VE;-1.6457417906113;48.0876516466133
35206;LA BOISARDIERE  CAMPAGNE VERS SAINT ERBLON;Aérien;Public;;;20080401;VE;-1.6286914728615;48.0405911793927
35079;PARKING DE LA GARE;Aérien;Public;;;20080328;VE;-1.63060648801843;48.2085079266854
35278;ALPHASIS   AQUATONIC;Aérien;Public;;;20090901;VE;-1.69664283104094;48.1541816564336
35238;Rue de Châteaugiron (angle impasse René Perrault);Aérien;Public;;;;VE;-1.65398894414107;48.1014577467359
35238;Square Louis Jouvet (côté rue des Frères Louis et René Moine);Aérien;Public;Viking renforcé;Gravier;;OM-MM;-1.6820625981272;48.0925663793474
35238;Boulevard de la Tour d Auvergne (angle rue du Puits Mauger);Aérien;Public;;;20100421;VE;-1.68430576638857;48.1052057978756
35196;CENTRE CULTUREL PLACE DU GRETAY  AV. DU MARECHAL LECLERC;Aérien;Public;;;20080331;VE;-1.84008625228255;48.0764381321209
35266;PARKING DU CIMETIERE RUE DU CHAMP MULON;Enterré;Public;Sans;Métal;20080403;VE;-1.65470048689131;48.0191470397831
35206;SQUARE DE BELLE ILLE;Aérien;Public;;;20080401;OM-MM;-1.67167668885031;48.0383379585227
35238;Rue Ginguené (près du Sacré Coeur);Aérien;Public;Sans;Enrobé;20080108;VE;-1.68118349975664;48.0989680425986
35352;AVENUE DU SOLIDOR;Aérien;Public;;;20080425;VE;-1.61481244911654;48.0467662882739
35238;Place du Landrel (angle allée de Croatie);Enterré;Public;Sans;Enrobé;;OM-MM-VE;-1.65230392297515;48.0902243931913
35278;RUE PAUL EMILE VICTOR  ECOLE;Aérien;Public;;;20080424;OM-MM-VE;-1.69218925965352;48.1532034004516
35238;Rue de Fougères (angle rue Anatole Le Braz);Aérien;Public;;;;VE;-1.66704185294205;48.119308360551
35039;La Cossaudière;Aérien;Public;Sans;Gravier;20090611;VE;-1.47309479053611;48.1046127888448
35238;Face au 13  avenue Gaston Berger;Aérien;Public;Sans;;20080226;VE;-1.70493689708018;48.1180261147795
35238;Place Saint-Germain;Aérien;Public;;;;MM;-1.67615816698077;48.1104882266169
35210;RUE ERNEST RENAN;Aérien;Public;;;20080401;VE;-1.77645461505151;48.1505501045068
35238;Place Saint-Michel;Enterré;Public;Sans;Métal;;OM-MM-VE;-1.68177888465626;48.1134921078533
35210;ZAC de la Giraudais. HYPER.CORA/OPERA.parking;Aérien;Public;;;20080401;VE;-1.76797313153128;48.1372560066012
35051;Rue des Myosotis (face au n° 3);Aérien;Public;Sans;Enrobé;20100722;VE;-1.62445639916988;48.1132883290137
35238;Rue Paul Bourget (angle rue Monsieur Vincent);Aérien;Public;Haie;;;OM;-1.65513356877963;48.0917397424748
35238;Rue du 7ème d Artillerie;Aérien;Public;;;;VE;-1.68094472377469;48.103274313967
35047;RUE DEBUSSY FACE COLLECTIF N°1;Aérien;Public;;;;VE;-1.7485490701299;48.0224103076983
35238;Face au n° 12;Enterré;Public;;Métal;20100310;OM-MM;-1.66524792987298;48.1243564056681
35238;7  square des Hautes Ourmes;Aérien;Public;Grillage - Haie;Terre;;OM-MM;-1.64656039247826;48.0882047808358
35238;Rue Champion de Cicé (face rue André Trasbot);Aérien;Public;;;20080523;VE;-1.70901363322888;48.1015927674876
35055;Mail Camille Claudel angle allée Jean Cocteau;Enterré;Public;Sans;Métal;20080904;OM-MM;-1.6073749124799;48.0850424906095
35238;Rue des Ormeaux (angle rue de Riaval);Aérien;Public;Sans;Enrobé;;VE;-1.66971785603843;48.1014795569295
35024;RUE DE RENNES  ENSEIGNE DE L ABBAYE;Aérien;Public;;;20080310;VE;-1.64347486957666;48.1689237418099
35238;2  square de Carélie;Aérien;Public;Haie;Terre;;OM-MM;-1.68087976620674;48.0864032103993
35238;Rue de Plélo (angle rue Tronjolly);Enterré;Public;Sans;Résine;20080520;VE;-1.68039500755778;48.1060458300463
35238;Rue Jean le Rond d Allembert;Aérien;Public;;;20080108;VE;-1.63819221797725;48.1032959344736
35238;Rue du Docteur Francis Joly (angle rue du Capitaine Maignan);Aérien;Public;;;;VE;-1.68216674989762;48.1039617464308
35278;ALPHASIS. ESPACE PERFORMANCE A L INTERIEUR;Aérien;Public;;;20100326;OM;-1.697948798742;48.1535585021755
35238;20  square des Hautes Chalais;Aérien;Privé;Palissade bois;Béton;;OM-MM;-1.67910150965407;48.0911011733362
35238;1  place de Prague;Aérien;Public;Haie;Béton;;OM-MM-VE;-1.65263252526171;48.0869358298725
35238;RUE SAINT HELIER ANGLE BOULEVARD LAËNNEC;Aérien;Public;;;20080826;VE;-1.66577608571444;48.1048139901944
35238;2  square de Sétubal;Aérien;Public;Béton;Enrobé;;OM-MM;-1.66716866970176;48.0854677719341
35055;LA CHEVALERAIS ROUTE DE CHATEAUGIRON;Aérien;Public;;;20071129;VE;-1.57786148433185;48.0746139799361
35238;Rue du Limousin (face square du Poitou);Enterré;Public;Sans;Métal;;OM-MM;-1.71478761125325;48.1232691675737
35238;Boulevard de la Tour d Auvergne (angle rue de la Motte Piquet);Aérien;Public;;;20080201;VE;-1.68459329507219;48.1081448253632
35238;5  square des Hautes Ourmes;Aérien;Public;Grillage - Haie;Gravier;;OM;-1.64705430056208;48.0881609815024
35206;PARKING UNICO RUE DES POTIERS;Aérien;Public;;;20080401;VE;-1.66917916961872;48.0418162034172
35240;Les Champs Frelons Rue des BLOSSIER;Aérien;Public;;;;OM-MM;-1.80063082150447;48.0973018839831
35238;Square Charles Dullin (côté rue du Général Nicolet);Aérien;Public;Viking renforcé;Béton;;OM-MM-VE;-1.68019908526193;48.0936837107975
35238;Square du Haut Blosne;Aérien;Privé;Claustra;Enrobé;;OM-MM;-1.69853489995242;48.0860128144134
